title|author|isbn|publisher|publication_year|category|quantity
1984|George Orwell|9788535932775|Companhia das Letras|2009|Ficção Distópica|5
A Revolução dos Bichos|George Orwell|9788579620126|Companhia das Letras|2007|Fábula Política|3
Dom Casmurro|Machado de Assis|9788535930498|Penguin-Companhia|2016|Romance|4
O Cortiço|Aluísio Azevedo|9788544001004|Martin Claret|2016|Romance Naturalista|2
Memórias Póstumas de Brás Cubas|Machado de Assis|9788520925997|Scipione|2014|Romance|3
Grande Sertão: Veredas|Guimarães Rosa|9788525406286|Companhia das Letras|2019|Romance Regionalista|2
Cem Anos de Solidão|Gabriel García Márquez|9788535931693|Record|2017|Realismo Mágico|4
O Alquimista|Paulo Coelho|9788501061867|Objetiva|2014|Ficção|6
A Menina que Roubava Livros|Markus Zusak|9788580573756|Intrínseca|2007|Ficção Histórica|3
O Pequeno Príncipe|Antoine de Saint-Exupéry|9788532530790|Agir|2015|Fábula|8
Harry Potter e a Pedra Filosal|J.K. Rowling|9788595084841|Rocco|2017|Fantasia|10
Harry Potter e a Câmara Secreta|J.K. Rowling|9788595085114|Rocco|2017|Fantasia|8
Harry Potter e o Prisioneiro de Azkaban|J.K. Rowling|9788595085787|Rocco|2017|Fantasia|7
Harry Potter e o Cálice de Fogo|J.K. Rowling|9788595086357|Rocco|2017|Fantasia|6
Harry Potter e a Ordem da Fênix|J.K. Rowling|9788595086944|Rocco|2017|Fantasia|5
Harry Potter e o Enigma do Príncipe|J.K. Rowling|9788595087453|Rocco|2017|Fantasia|5
Harry Potter e as Relíquias da Morte|J.K. Rowling|9788595088047|Rocco|2017|Fantasia|6
O Hobbit|J.R.R. Tolkien|9788544001677|HarperCollins Brasil|2019|Fantasia|4
O Senhor dos Anéis: A Sociedade do Anel|J.R.R. Tolkien|9788595086616|HarperCollins Brasil|2019|Fantasia|5
O Senhor dos Anéis: As Duas Torres|J.R.R. Tolkien|9788595086623|HarperCollins Brasil|2019|Fantasia|4
O Senhor dos Anéis: O Retorno do Rei|J.R.R. Tolkien|9788595086630|HarperCollins Brasil|2019|Fantasia|4
A Guerra dos Tronos|George R.R. Martin|9788535929638|LeYa|2019|Fantasia Épica|3
A Fúria dos Reis|George R.R. Martin|9788535932423|LeYa|2019|Fantasia Épica|3
A Tormenta de Espadas|George R.R. Martin|9788535932430|LeYa|2019|Fantasia Épica|2
O Festim dos Corvos|George R.R. Martin|9788535932447|LeYa|2019|Fantasia Épica|2
A Dança dos Dragões|George R.R. Martin|9788535932454|LeYa|2019|Fantasia Épica|2
A Culpa é das Estrelas|John Green|9788580416695|Intrínseca|2012|Romance Juvenil|5
Cidades de Papel|John Green|9788580575194|Intrínseca|2013|Romance Juvenil|4
Quem é Você, Alasca?|John Green|9788580577037|Intrínseca|2013|Romance Juvenil|3
O Código Da Vinci|Dan Brown|9788535926590|Arqueiro|2017|Suspense|4
Anjos e Demônios|Dan Brown|9788580410426|Arqueiro|2013|Suspense|3
Inferno|Dan Brown|9788580411676|Arqueiro|2013|Suspense|3
Origem|Dan Brown|9788580414950|Arqueiro|2017|Suspense|4
O Caçador de Pipas|Khaled Hosseini|9788535928273|Globo Livros|2017|Drama|3
A Cabana|William P. Young|9788525059901|Sextante|2008|Ficção Espiritual|2
Jogos Vorazes|Suzanne Collins|9788580576252|Rocco|2010|Ficção Científica Distópica|5
Em Chamas|Suzanne Collins|9788580576269|Rocco|2011|Ficção Científica Distópica|4
A Esperança|Suzanne Collins|9788580576276|Rocco|2011|Ficção Científica Distópica|4
Divergente|Veronica Roth|9788580573220|Rocco|2012|Ficção Científica Distópica|3
Insurgente|Veronica Roth|9788580573923|Rocco|2012|Ficção Científica Distópica|3
Convergente|Veronica Roth|9788580574517|Rocco|2013|Ficção Científica Distópica|3
O Diário de Anne Frank|Anne Frank|9788599296370|Record|2014|Biografia|4
Sapiens: Uma Breve História da Humanidade|Yuval Noah Harari|9788535911664|L&PM|2015|Não-ficção|6
Homo Deus: Uma Breve História do Amanhã|Yuval Noah Harari|9788535928488|Companhia das Letras|2016|Não-ficção|5
21 Lições Para o Século 21|Yuval Noah Harari|9788535932508|Companhia das Letras|2018|Não-ficção|5
O Poder do Hábito|Charles Duhigg|9788543105277|Objetiva|2012|Autoajuda|3
Rápido e Devagar: Duas Formas de Pensar|Daniel Kahneman|9788543105901|Objetiva|2012|Psicologia|3
A Arte da Guerra|Sun Tzu|9788535927245|L&PM|2017|Estratégia|5
O Monge e o Executivo|James C. Hunter|9788595201163|Sextante|2004|Gestão|4
Pai Rico, Pai Pobre|Robert Kiyosaki|9788575428344|Alta Books|2017|Finanças|6
Como Fazer Amigos e Influenciar Pessoas|Dale Carnegie|9788595081529|Companhia Editora Nacional|2012|Autoajuda|4
Os 7 Hábitos das Pessoas Altamente Eficazes|Stephen R. Covey|9788595200869|BestSeller|2017|Autoajuda|5
A Sutil Arte de Ligar o F*da-se|Mark Manson|9788542209471|Intrínseca|2017|Autoajuda|7
12 Regras Para a Vida|Jordan B. Peterson|9788568014141|Alta Books|2018|Autoajuda|4
Mindset: A Nova Psicologia do Sucesso|Carol S. Dweck|9788595200715|Objetiva|2017|Psicologia|3
O Cérebro com Foco e Disciplina|Daniel Goleman|9788535931334|Objetiva|2014|Psicologia|2
Inteligência Emocional|Daniel Goleman|9788535910629|Objetiva|2012|Psicologia|5
A Garota no Trem|Paula Hawkins|9788580416077|Record|2015|Suspense|3
Garota Exemplar|Gillian Flynn|9788580448870|Intrínseca|2014|Suspense|4
O Silêncio dos Inocentes|Thomas Harris|9788535928662|Record|2017|Suspense|2
A Paciente Silenciosa|Alex Michaelides|9788542213492|Record|2019|Suspense|5
It: A Coisa|Stephen King|9788501114389|Suma|2014|Terror|3
O Iluminado|Stephen King|9788560280809|Suma|2012|Terror|4
Doutor Sono|Stephen King|9788556510686|Suma|2013|Terror|3
Outsider|Stephen King|9788581052458|Suma|2018|Terror|3
O Instituto|Stephen King|9788581052991|Suma|2019|Terror|4
A Dança da Morte|Stephen King|9788556510365|Suma|2012|Terror|2
Cemitério Maldito|Stephen King|9788556510792|Suma|2013|Terror|3
Drácula|Bram Stoker|9788535930221|Zahar|2014|Terror Gótico|3
Frankenstein|Mary Shelley|9788544001738|Penguin-Companhia|2015|Terror Gótico|3
